,Date,CO2_equivalent
0,1850,3055717.5763362707
1,1851,3139625.600176615
2,1852,3237192.0643469607
3,1853,3345354.261517278
4,1854,3538724.6072175694
5,1855,3634111.1329178344
6,1856,3763339.987718099
7,1857,3844445.9716182854
8,1858,3925505.1341184704
9,1859,4060311.540618576
10,1860,4224403.58951863
11,1861,4340827.019618683
12,1862,4436775.591718683
13,1863,4600896.706818709
14,1864,4771233.118918736
15,1865,4921645.010218736
16,1866,5039870.355318736
17,1867,5251682.1754187625
18,1868,5390171.809118789
19,1869,5595433.532218816
20,1870,5723468.162118841
21,1871,5915662.275319159
22,1872,6262702.1941199545
23,1873,6519410.04962112
24,1874,6473482.281422551
25,1875,6743472.889424115
26,1876,6865239.957225732
27,1877,7050396.364727296
28,1878,7149801.812628619
29,1879,7496598.87932968
30,1880,7951427.46223021
31,1881,8156568.716430741
32,1882,8474497.997131005
33,1883,8793347.748331271
34,1884,8947676.532031534
35,1885,9057310.678231535
36,1886,9235644.3909318
37,1887,9523770.980132066
38,1888,10162391.769332064
39,1889,10124460.83503233
40,1890,10608626.493732594
41,1891,10903708.632132862
42,1892,11060462.024033124
43,1893,11126649.26153339
44,1894,11390557.33003392
45,1895,11762871.732534185
46,1896,12025014.909034451
47,1897,12373588.257034715
48,1898,12743446.586035244
49,1899,13335458.944035508
50,1900,13741959.498036042
51,1901,14068888.27203657
52,1902,14345849.322037099
53,1903,15067076.780537894
54,1904,15300583.148038425
55,1905,15920924.79203922
56,1906,16453585.704040017
57,1907,17630222.603541072
58,1908,17439437.62654187
59,1909,17941091.414542668
60,1910,18488765.972543195
61,1911,18778686.09304399
62,1912,19388761.619544785
63,1913,20351579.67454558
64,1914,19581393.19304611
65,1915,19659430.393546905
66,1916,20589526.8325477
67,1917,21235908.20304823
68,1918,21261925.051549025
69,1919,20025673.04154982
70,1920,21600614.13405061
71,1921,20378327.547051407
72,1922,20963430.226052206
73,1923,22459042.911052734
74,1924,22588144.73805353
75,1925,22804277.681054324
76,1926,22750531.989055123
77,1927,23916205.657055914
78,1928,24005662.100556713
79,1929,25021547.039057504
80,1930,24131285.290558036
81,1931,22938957.579274498
82,1932,21959699.089065
83,1933,22559083.35779
84,1934,23553303.570474997
85,1935,24217086.655435
86,1936,25468669.97167
87,1937,26477038.621995
88,1938,25820424.370699998
89,1939,26695226.602550004
90,1940,28022172.543100003
91,1941,28641337.88135
92,1942,29046572.7488
93,1943,30000187.6246
94,1944,30478888.9454
95,1945,28584004.421200003
96,1946,30272318.9983
97,1947,32387980.62305
98,1948,33802610.3806
99,1949,33698606.39325
100,1950,35182723.06285
101,1951,36909561.1686
102,1952,37697427.1427
103,1953,38785618.87755
104,1954,39754197.870699994
105,1955,42447133.569699995
106,1956,44634779.84375
107,1957,46058923.61405
108,1958,47348792.95635
109,1959,49294105.243999995
110,1960,51241837.631000005
111,1961,51844630.538
112,1962,53306860.318
113,1963,55580946.288
114,1964,57883297.821
115,1965,59988880.861
116,1966,62435701.9245
117,1967,64552305.6525
118,1968,67461845.6445
119,1969,71044218.8245
120,1970,75527936.44849999
121,1971,77499254.151
122,1972,80695343.928
123,1973,85333373.426
124,1974,84889226.02049999
125,1975,84020875.2465
126,1976,88365463.76
127,1977,89684987.69299999
128,1978,93243142.638
129,1979,95128993.0845
130,1980,93691373.19299999
131,1981,90084149.86749999
132,1982,89398653.645
133,1983,89551740.119
134,1984,91029000.79699999
135,1985,93094118.202
136,1986,93963395.80550002
137,1987,96323536.09899999
138,1988,99597316.8995
139,1989,100929031.538
140,1990,100084978.677
141,1991,101342980.6655
142,1992,99226979.0515
143,1993,99709446.269
144,1994,100167949.82750002
145,1995,102181523.018
146,1996,104328410.634
147,1997,104461838.6805
148,1998,103948740.192
149,1999,104648709.57550001
150,2000,106933526.7355
151,2001,107508146.6825
152,2002,109194062.4315
153,2003,114060585.6915
154,2004,118411070.12099999
155,2005,121882776.49000001
156,2006,125202837.152
157,2007,128300195.6575
158,2008,130669652.38000001
159,2009,129035183.83150001
160,2010,134783163.1665
161,2011,138483768.582
162,2012,140361450.977
163,2013,141000636.4535
164,2014,142437286.3935
165,2015,143147789.204
166,2016,143965148.91099998
167,2017,145729144.139
