Pays,Inscrits,Votants,% part.,Suffrages Exprimés,JOLY,LE PEN,SARKOZY,MELENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE,
AFGHANISTAN,166,65,39,16%,65,8,2,15,7,0,0,0,9,1,23
AFRIQUE DU SUD,4497,1584,35,22%,1557,70,128,746,81,9,1,6,187,25,304
ALBANIE,111,84,75,68%,82,6,3,25,7,2,0,0,7,3,29
ALGERIE,22795,4331,19,00%,4264,82,96,488,624,23,12,11,233,29,2666
ALLEMAGNE,71975,26322,36,57%,26095,2899,975,7414,1978,200,74,98,3746,316,8395
ANDORRE,2674,1216,45,47%,1198,39,205,511,108,13,6,2,87,24,203
ANGOLA,1066,480,45,03%,468,18,29,189,30,4,2,5,60,10,121
ARABIE SAOUDITE,2834,1119,39,48%,1096,37,92,455,77,3,2,4,117,14,295
ARGENTINE,12919,2869,22,21%,2835,140,176,1041,293,21,12,22,199,41,890
ARMENIE,399,184,46,12%,181,1,12,116,12,4,0,2,12,2,20
AUSTRALIE,14908,4830,32,40%,4770,409,327,1817,310,20,18,23,616,87,1143
AUTRICHE,4906,2478,50,51%,2453,252,68,689,213,15,9,13,380,26,788
AZERBAIDJAN,115,75,65,22%,74,4,7,20,9,0,0,0,12,0,22
BAHREIN,637,298,46,78%,297,8,26,136,13,1,1,1,41,3,67
BANGLADESH,156,88,56,41%,88,5,2,16,12,0,0,0,14,0,39
BELGIQUE ,65718,33407,50,83%,33121,1954,2344,11556,3609,261,117,142,4319,490,8442
BENIN,2320,1054,45,43%,1044,38,28,205,63,6,4,2,61,7,630
BIELORUSSIE,79,51,64,56%,50,3,7,15,10,0,1,0,4,1,9
BIRMANIE,145,108,74,48%,108,15,7,40,12,2,0,0,4,0,28
BOLIVIE,829,348,41,98%,342,23,24,83,43,6,0,1,38,1,123
BOSNIE-HERZEGOVINE,175,115,65,71%,113,7,8,28,7,1,0,0,14,2,46
BOTSWANA,68,48,70,59%,46,4,0,12,2,0,0,0,4,0,24
BRESIL,14868,4276,28,76%,4217,225,180,1769,372,24,7,13,332,34,1261
BRUNEI,111,78,70,27%,78,3,3,38,6,0,0,0,5,1,22
BULGARIE,581,331,56,97%,325,24,28,121,21,2,0,2,44,6,77
BURKINA FASO,1978,1120,56,62%,1105,50,51,265,123,7,3,1,110,2,493
