,sexe,preusuel,annais,dpt,nombre
1129,1,AARON,2017,01,18
1130,1,AARON,2017,02,19
1131,1,AARON,2017,03,10
1132,1,AARON,2017,04,5
1133,1,AARON,2017,06,50
1134,1,AARON,2017,07,9
1135,1,AARON,2017,08,7
1136,1,AARON,2017,09,5
1137,1,AARON,2017,10,7
1138,1,AARON,2017,11,12
1139,1,AARON,2017,12,13
1140,1,AARON,2017,13,110
1141,1,AARON,2017,14,13
1142,1,AARON,2017,16,8
1143,1,AARON,2017,17,16
1144,1,AARON,2017,18,16
1145,1,AARON,2017,19,8
1146,1,AARON,2017,20,4
1147,1,AARON,2017,21,15
1148,1,AARON,2017,22,12
1149,1,AARON,2017,24,9
1150,1,AARON,2017,25,18
1151,1,AARON,2017,26,13
1152,1,AARON,2017,27,16
1153,1,AARON,2017,28,19
1154,1,AARON,2017,29,25
1155,1,AARON,2017,30,26
1156,1,AARON,2017,31,48
1157,1,AARON,2017,32,3
1158,1,AARON,2017,33,56
1159,1,AARON,2017,34,48
1160,1,AARON,2017,35,34
1161,1,AARON,2017,36,4
1162,1,AARON,2017,37,24
1163,1,AARON,2017,38,40
1164,1,AARON,2017,39,9
1165,1,AARON,2017,40,5
1166,1,AARON,2017,41,14
1167,1,AARON,2017,42,26
1168,1,AARON,2017,44,47
1169,1,AARON,2017,45,27
1170,1,AARON,2017,47,13
1171,1,AARON,2017,48,3
1172,1,AARON,2017,49,25
1173,1,AARON,2017,50,21
1174,1,AARON,2017,51,18
1175,1,AARON,2017,52,6
1176,1,AARON,2017,53,7
1177,1,AARON,2017,54,33
1178,1,AARON,2017,55,9
1179,1,AARON,2017,56,19
1180,1,AARON,2017,57,26
1181,1,AARON,2017,58,7
1182,1,AARON,2017,59,112
1183,1,AARON,2017,60,26
1184,1,AARON,2017,61,12
1185,1,AARON,2017,62,53
1186,1,AARON,2017,63,25
1187,1,AARON,2017,64,12
1188,1,AARON,2017,65,9
1189,1,AARON,2017,66,7
1190,1,AARON,2017,67,36
1191,1,AARON,2017,68,32
1192,1,AARON,2017,69,62
1193,1,AARON,2017,70,3
1194,1,AARON,2017,71,13
1195,1,AARON,2017,72,15
1196,1,AARON,2017,73,10
1197,1,AARON,2017,74,33
1198,1,AARON,2017,75,116
1199,1,AARON,2017,76,64
1200,1,AARON,2017,77,59
1201,1,AARON,2017,78,41
1202,1,AARON,2017,79,8
1203,1,AARON,2017,80,18
1204,1,AARON,2017,81,11
1205,1,AARON,2017,82,10
1206,1,AARON,2017,83,29
1207,1,AARON,2017,84,31
1208,1,AARON,2017,85,17
1209,1,AARON,2017,86,17
1210,1,AARON,2017,87,15
1211,1,AARON,2017,88,13
1212,1,AARON,2017,89,11
1213,1,AARON,2017,90,13
1214,1,AARON,2017,91,51
1215,1,AARON,2017,92,70
1216,1,AARON,2017,93,50
1217,1,AARON,2017,94,63
1218,1,AARON,2017,95,62
1219,1,AARON,2017,972,8
1220,1,AARON,2017,973,8
1221,1,AARON,2017,974,71
1317,1,AARONN,2017,44,4
1342,1,ABBAS,2017,77,3
1465,1,ABD,2017,13,8
1466,1,ABD,2017,69,10
1467,1,ABD,2017,75,4
1468,1,ABD,2017,92,3
2073,1,ABDALLAH,2017,06,3
2074,1,ABDALLAH,2017,13,14
2075,1,ABDALLAH,2017,18,3
2076,1,ABDALLAH,2017,30,5
2077,1,ABDALLAH,2017,31,5
2078,1,ABDALLAH,2017,33,3
