,Date,Population
1,1960,3032019978.0
2,1961,3073077563.0
3,1962,3126066253.0
4,1963,3191186048.0
5,1964,3256700083.0
6,1965,3323623700.0
7,1966,3393699205.0
8,1967,3463147267.0
9,1968,3533536526.0
10,1969,3608235815.0
11,1970,3683676306.0
12,1971,3761307048.0
13,1972,3837726171.0
14,1973,3913217944.0
15,1974,3989385034.0
16,1975,4063806523.0
17,1976,4136393107.0
18,1977,4208770941.0
19,1978,4282341460.0
20,1979,4357793599.0
21,1980,4434021975.0
22,1981,4512268962.0
23,1982,4593454253.0
24,1983,4675367633.0
25,1984,4756998073.0
26,1985,4840155168.0
27,1986,4925801334.0
28,1987,5013576387.0
29,1988,5102293348.0
30,1989,5190965222.0
31,1990,5281340078.0
32,1991,5369210095.0
33,1992,5453393960.0
34,1993,5538448726.0
35,1994,5622575421.0
36,1995,5707533023.0
37,1996,5790454220.0
38,1997,5873071768.0
39,1998,5954810550.0
40,1999,6035284135.0
41,2000,6115108363.0
42,2001,6194460444.0
43,2002,6273526441.0
44,2003,6352677699.0
45,2004,6432374971.0
46,2005,6512602867.0
47,2006,6593623202.0
48,2007,6675130418.0
49,2008,6757887172.0
50,2009,6840591577.0
51,2010,6922947261.0
52,2011,7004011262.0
53,2012,7086993625.0
54,2013,7170961674.0
55,2014,7255653881.0
56,2015,7340548192.0
57,2016,7426103221.0
58,2017,7510990456.0
59,2018,7594270356.0
60,2019,
